Feature;Value
ApplicationName;GaitAnalysis
TestType;System
DeviceURL;http://164.92.168.129:27592
ThreadIndex;1
DataUserNo;-1
DataStepLength;-1
CalibrationDataLength;300
TestDataLength;18000
TestDataRepeatCount;1
ThreadCreated;1648223.114331
BluetoothConnected;1648223.158384
ThreadStarted:1648228.903594
AssignFogNode_Latitude;41.1073293
AssignFogNode_Longitude;28.7827509
AssignFogNodeRequested;1648228.907560
AssignWorkerDeviceRequested;1648229.177388
BrokerIPAssigned;1648229.176459
BrokerIP;212.253.104.215
BrokerType;WAN
BrokerDistance;17.815618448756158
SocketInitialized;1648229.285731
WorkerDeviceAssigned;1648229.272849
WorkerIP;192.168.2.151
CPU_Usage;1.2562814070351758
DeviceConnected:1648229.585896
FilenameTime:1648229.642411
Filename:undefined_2023_08_18_12_29_11_EvMTQr7_OUpviSf3AAAL.json
FilenameTime:1648229.690872
Filename:1_2023_08_18_12_29_10_rrc0bJxwudATX745AAAJ.json
ProcessReady;1648229.691939
FirstResponseReceived;1648229.778675
