Feature;Value
ApplicationName;GaitAnalysis
TestType;Cloud
DeviceURL;http://164.92.168.129:27592
ThreadIndex;1
DataUserNo;-1
DataStepLength;-1
CalibrationDataLength;300
TestDataLength;18000
TestDataRepeatCount;1
ThreadCreated;367633.692319
BluetoothConnected;367633.730040
ThreadStarted:367647.176280
SocketInitialized;367647.188852
DeviceConnected:367647.727660
FilenameTime:367647.828065
Filename:1_2023_09_19_06_34_14_F0h_sP7HtbGvyS9VAAAJ.json
ProcessReady;367647.903659
FirstResponseReceived;367648.017582
