Feature;Value
ApplicationName;GaitAnalysis
TestType;System
DeviceURL;http://164.92.168.129:27592
ThreadIndex;0
DataUserNo;1
DataStepLength;20
CalibrationDataLength;224
TestDataLength;300
TestDataRepeatCount;1
ThreadCreated;1692404091.566843
ThreadStarted;1692404091.567845
AssignFogNode_Latitude;41.0138
AssignFogNode_Longitude;28.9497
AssignFogNodeRequested;1692404091.567845
BrokerIPAssigned;1692404091.676484
BrokerIP;192.168.2.125
BrokerType;LAN
BrokerDistance;0
AssignWorkerDeviceRequested;1692404091.676484
WorkerDeviceAssigned;1692404091.686644
WorkerIP;192.168.2.125
CPU_Usage;2.0050125313283207
WorkerResourceThreadStarted;1692404091.687638
BrokerResourceThreadStarted;1692404091.68864
CloudResourceThreadStarted;1692404091.68966
DeviceConnected;1692404091.726983
Filename;0_2023_08_19_03_14_52_QxwXHpBjmfsmFhZrAAAl.json
ProcessReady;1692404091.753835
FirstDataSent;1692404091.93772
FirstResponseReceived;1692404091.945569
TheadStopped;1692404102.432421
