Feature;Value
ApplicationName;GaitAnalysis
TestType;Cloud
DeviceURL;http://164.92.168.129:27592
ThreadIndex;1
DataUserNo;-1
DataStepLength;-1
CalibrationDataLength;300
TestDataLength;300
TestDataRepeatCount;1
ThreadCreated;1672262.185416
BluetoothConnected;1672262.208902
ThreadStarted:1672271.053046
SocketInitialized;1672271.058355
DeviceConnected:1672271.546675
FilenameTime:1672271.648677
Filename:1_2023_08_18_17_17_20_rsBu27_UPFiIq7DQAAAx.json
ProcessReady;1672271.747401
FirstResponseReceived;1672271.952386
