Feature;Value
ApplicationName;GaitAnalysis
TestType;Broker
DeviceURL;http://192.168.2.125:27592
ThreadIndex;0
DataUserNo;1
DataStepLength;20
CalibrationDataLength;224
TestDataLength;18000
TestDataRepeatCount;1
ThreadCreated;1693165395.359183
ThreadStarted;1693165395.360359
WorkerResourceThreadStarted;1693165395.360359
DeviceConnected;1693165395.397046
Filename;0_2023_08_27_22_43_17_8r5WByHI1Fxl4wgSAAAN.json
ProcessReady;1693165395.404763
FirstDataSent;1693165395.612338
FirstResponseReceived;1693165395.630361
TheadStopped;1693165760.106211
