Feature;Value
ApplicationName;GaitAnalysis
TestType;Cloud
DeviceURL;http://164.92.168.129:27592
ThreadIndex;1
DataUserNo;-1
DataStepLength;-1
CalibrationDataLength;300
TestDataLength;300
TestDataRepeatCount;1
ThreadCreated;375527.689616
BluetoothConnected;375527.732361
ThreadStarted:375534.389325
SocketInitialized;375534.402574
DeviceConnected:375534.861011
FilenameTime:375534.951115
Filename:1_2023_09_19_08_45_42_wPpKZBJr-8skv13tAAA7.json
ProcessReady;375535.026732
FirstResponseReceived;375535.135537
