Feature;Value
ApplicationName;GaitAnalysis
TestType;Cloud
DeviceURL;http://164.92.168.129:27592
ThreadIndex;1
DataUserNo;-1
DataStepLength;-1
CalibrationDataLength;300
TestDataLength;300
TestDataRepeatCount;1
ThreadCreated;375555.847123
BluetoothConnected;375555.895965
ThreadStarted:375560.914304
SocketInitialized;375560.928579
DeviceConnected:375561.448074
FilenameTime:375561.542382
Filename:1_2023_09_19_08_46_08_sLoozoY5VIRA6Z6vAAA9.json
ProcessReady;375561.610367
FirstResponseReceived;375561.745158
