Time,AccX,AccY,AccZ,GyroX,GyroY,GyroZ,Capacitance
7267,-0.89,-0.32,0.1,3.69,2.02,1.35,511
7287,-0.91,-0.29,0.11,2.04,0.66,1.27,509
7307,-0.9,-0.34,0.1,1.99,0.36,-0.56,509
7327,-0.91,-0.3,0.09,1.41,0.28,0.35,509
7347,-0.89,-0.33,0.08,1.29,0.77,0.08,509
7367,-0.89,-0.36,0.11,5.28,1.29,-1.19,509
7388,-0.89,-0.31,0.1,3.99,0.49,-0.1,509
7408,-0.89,-0.32,0.09,2.16,-0.22,-0.84,509
7429,-0.89,-0.31,0.08,4.12,0.83,-1.22,509
7448,-0.91,-0.31,0.09,4.6,1.23,-1.97,509
7469,-0.9,-0.3,0.08,3.72,0.31,-2.59,509
7488,-0.89,-0.33,0.1,4.44,0.92,-3.48,509
7508,-0.9,-0.32,0.09,5.18,0.95,-3.83,509
7528,-0.9,-0.28,0.06,0.89,-1.34,-3.25,509
7548,-0.91,-0.3,0.06,-0.17,-2.1,-5.36,509
7568,-0.91,-0.29,0.08,2.86,-1.23,-6.07,509
7588,-0.93,-0.29,0.09,-0.53,-2.24,-7.43,510
7608,-0.91,-0.33,0.06,0.59,-2.22,-8.1,509
7628,-0.9,-0.29,0.07,2.42,-1.49,-8.79,510
7648,-0.92,-0.25,0.07,0.31,-3.25,-10.12,510
7668,-0.94,-0.24,0.05,-2.04,-6.24,-13.11,510
7688,-0.88,-0.35,0.05,4.21,-3.87,-18.82,510
7708,-0.88,-0.4,0.1,13.75,0.39,-19.89,510
7729,-0.89,-0.38,0.1,12.47,-1.84,-18.44,510
7749,-0.91,-0.33,0.07,15.47,-0.94,-21.84,510
7770,-0.95,-0.24,0.04,24.65,0.56,-25.94,510
7789,-0.96,-0.23,0.07,28.67,-0.35,-35.33,510
7810,-0.96,-0.26,0.13,39.14,5.5,-43.49,510
7829,-1.01,-0.16,0.08,39.79,4.85,-43.26,511
7849,-1.06,-0.03,0.1,22.48,-2.27,-43.52,511
7869,-0.98,-0.1,0.15,-1.27,-11.8,-48.76,511
7889,-0.89,-0.39,0.22,-12.31,-12.38,-50.75,513
7909,-0.88,-0.54,0.24,-9.85,-12.5,-48.41,513
7929,-0.78,-0.65,0.21,-6.6,-10.89,-42.96,513
7949,-0.67,-0.69,0.21,0.76,-5.25,-28.55,512
7969,-0.67,-0.59,0.23,19.34,1.49,7.97,512
7989,-0.81,-0.34,0.19,9.18,-8.38,37.35,512
8009,-0.87,-0.33,0.17,-10.8,-15.47,59.73,512
8029,-0.85,-0.43,0.2,-8.8,-13.64,74.54,512
8049,-0.84,-0.41,0.23,-0.72,-6.22,87.61,512
8070,-0.9,-0.33,0.19,-2.16,-5.93,94.49,512
8090,-0.93,-0.29,0.18,-5.85,-4.65,97.8,512
8111,-0.88,-0.32,0.17,-8.34,-3.72,98.45,512
8130,-0.86,-0.31,0.15,-7.0,-0.83,101.22,512
8151,-0.86,-0.22,0.12,-11.18,-1.86,104.38,511
8170,-0.87,-0.23,0.12,-13.84,-2.59,101.32,511
8190,-0.84,-0.35,0.14,-1.72,5.18,87.74,511
8210,-0.82,-0.24,0.11,16.45,14.28,87.03,511
8230,-0.92,-0.07,0.08,9.11,12.24,77.71,511
8250,-0.92,-0.14,0.15,-3.14,7.81,65.16,511
8270,-0.84,-0.14,0.12,-1.93,4.05,52.66,511
8290,-0.95,-0.02,0.07,-3.04,6.51,33.16,511
8310,-0.93,-0.03,0.13,-15.04,1.14,18.25,511
8330,-0.93,-0.09,0.11,-18.17,-2.45,-0.36,511
8350,-0.92,-0.05,0.09,-29.58,-6.04,-13.14,511
8370,-0.91,-0.1,0.13,-56.3,-16.88,-20.2,510
8390,-0.83,-0.16,0.14,-73.85,-22.56,-32.85,510
8411,-0.8,-0.37,0.08,-69.23,-17.81,-39.91,509
8430,-1.03,-0.27,0.34,-38.82,3.73,-21.91,510
8451,-1.37,0.04,0.49,-24.95,10.49,-12.15,511
8470,-1.15,-0.19,0.19,-49.29,-31.17,-45.74,511
8491,-0.67,-0.44,0.02,-39.41,-10.8,-37.28,511
8510,-0.78,-0.5,-0.04,0.27,18.11,-35.71,511
8530,-0.99,-0.26,0.09,7.08,16.74,-32.38,511
8550,-0.94,-0.2,0.2,-4.71,12.1,-32.06,511
8570,-0.94,-0.19,0.11,-20.77,2.56,-24.7,510
8590,-0.82,-0.44,0.07,-21.41,5.36,-29.51,510
8610,-0.85,-0.52,0.11,14.41,22.66,-29.37,510
8630,-0.97,-0.09,0.09,7.21,15.88,-19.77,510
8650,-0.94,-0.09,0.06,-24.01,5.69,-20.73,510
8670,-0.91,-0.17,0.14,-25.33,7.26,-19.68,510
8690,-0.94,-0.05,0.08,-35.91,2.88,-13.83,511
8710,-0.91,-0.25,0.03,-40.79,5.76,-18.61,511
8730,-0.96,-0.18,0.07,-44.27,2.16,-15.42,510
8751,-0.92,-0.27,0.01,-51.66,0.34,-17.07,510
8770,-0.85,-0.48,-0.05,-46.71,-0.7,-15.74,510
8791,-0.86,-0.58,0.09,-23.38,4.75,-19.42,510
8810,-0.87,-0.45,0.1,0.04,9.23,-20.52,510
8830,-0.88,-0.28,0.08,5.86,11.81,-18.23,510
8850,-0.95,-0.18,0.08,2.74,11.78,-21.08,510
8870,-0.93,-0.17,0.02,0.6,9.23,-23.08,510
8890,-0.93,-0.22,-0.01,3.92,12.11,-27.78,509
8910,-0.94,-0.22,0.05,1.4,7.95,-28.0,510
8930,-0.89,-0.26,0.09,-7.87,4.88,-28.04,510
8950,-0.87,-0.42,0.08,-9.9,3.87,-29.57,510
8970,-0.86,-0.49,0.04,-2.51,8.01,-29.37,510
8990,-0.83,-0.49,0.06,4.83,8.07,-27.42,509
9010,-0.83,-0.45,0.12,6.53,10.11,-26.47,510
9030,-0.83,-0.41,0.13,7.12,11.46,-26.18,510
9051,-0.86,-0.4,0.07,7.21,10.19,-27.17,510
9070,-0.86,-0.46,0.03,8.01,15.06,-27.8,509
9091,-0.9,-0.48,0.08,24.62,16.16,-33.94,510
9110,-0.89,-0.26,0.03,37.43,18.01,-36.17,510
9131,-0.92,-0.19,-0.09,23.67,15.7,-36.04,510
9150,-0.89,-0.34,-0.08,14.71,10.95,-40.43,509
9170,-0.89,-0.4,0.01,21.47,14.54,-45.11,509
9190,-0.88,-0.34,0.04,33.66,17.64,-49.68,509
9210,-0.9,-0.28,0.09,52.94,19.07,-66.55,509
9230,-1.08,-0.2,-0.11,59.14,18.48,-75.52,510
9250,-1.23,-0.34,-0.07,53.64,11.76,-92.01,511
9270,-1.0,-0.51,0.14,65.47,13.76,-100.18,511
9290,-0.97,-0.6,0.3,89.34,29.0,-111.34,512
9310,-0.99,-0.63,0.32,103.03,30.77,-112.97,513
9330,-1.05,-0.43,0.31,87.78,16.69,-105.89,515
9350,-1.07,-0.25,0.31,80.97,17.33,-107.01,516
9370,-1.09,-0.27,0.36,68.79,10.3,-106.44,516
9391,-1.02,-0.42,0.33,70.02,11.82,-108.84,517
9410,-1.06,-0.43,0.12,47.34,-8.09,-99.69,517
9431,-1.03,-0.4,0.02,5.37,-23.8,-74.27,516
9450,-0.79,-0.62,-0.01,-16.74,-27.95,-73.46,515
9470,-0.57,-0.9,-0.04,-19.53,-14.42,-55.52,514
9490,-0.42,-0.93,0.1,-14.17,-23.46,-26.2,513
9510,0.08,-1.0,-0.0,-5.95,8.46,-2.94,512
9530,-0.18,-0.9,0.15,44.89,20.82,49.85,511
9550,-0.2,-0.6,0.1,5.76,1.67,100.14,511
9570,-0.24,-0.66,0.1,-18.51,-15.87,140.05,511
9590,-0.21,-0.84,0.08,-5.81,-3.69,171.48,511
9610,-0.37,-0.82,0.18,11.21,2.51,193.76,511
9630,-0.53,-0.61,0.27,6.45,-9.37,220.81,511
9650,-0.66,-0.51,0.27,-27.32,-26.21,231.94,511
9670,-0.66,-0.65,0.21,-38.65,-25.78,224.55,510
9691,-0.7,-0.61,0.24,-28.48,-16.19,223.65,510
9710,-0.81,-0.52,0.17,-31.4,-15.73,225.01,510
9731,-0.84,-0.45,0.24,-21.43,-0.53,221.62,509
9750,-0.94,-0.39,0.18,-8.04,8.92,190.95,508
9771,-1.01,-0.42,0.16,16.01,22.11,159.8,509
9790,-0.94,-0.17,0.06,43.14,35.79,140.06,509
9810,-1.06,0.12,-0.07,37.66,31.46,107.97,510
9830,-1.04,0.04,0.1,24.57,26.28,68.05,511
9850,-0.88,-0.06,0.11,30.85,23.18,38.08,511
9870,-0.87,-0.08,0.1,35.49,28.88,11.07,511
9890,-0.86,-0.05,0.17,18.02,20.37,0.78,511
9910,-0.87,-0.04,0.17,-7.3,7.0,-8.75,511
9930,-0.96,0.01,0.06,-25.67,1.04,-21.75,511
9950,-0.99,-0.02,0.1,-33.0,2.63,-36.07,511
9970,-0.97,0.05,0.08,-49.46,-4.54,-49.78,511
9990,-0.94,0.04,0.11,-83.38,-13.58,-53.69,510
10010,-1.18,0.24,0.37,-107.67,-18.07,-42.56,510
10031,-1.38,0.34,0.48,-131.56,-29.67,-16.97,510
10050,-1.19,-0.3,0.33,-121.14,-47.8,-42.12,510
10071,-0.78,-0.69,0.09,-85.98,-32.53,-77.8,509
10090,-0.57,-0.55,-0.1,-62.08,-0.6,-41.88,508
10110,-0.66,-0.61,-0.06,-30.94,30.07,-37.94,508
10130,-0.85,-0.46,0.43,-0.08,32.4,-41.34,508
10150,-0.98,-0.17,0.31,6.31,27.36,-39.17,509
10170,-0.97,-0.3,-0.11,-9.52,22.3,-41.31,509
10190,-0.85,-0.4,-0.1,-6.33,28.49,-39.86,508
10210,-0.96,-0.29,0.01,5.25,28.02,-37.77,508
10230,-0.97,-0.24,0.04,-7.72,10.95,-37.77,508
10250,-0.87,-0.34,0.07,-19.91,3.64,-34.62,509
10270,-0.91,-0.37,-0.0,-17.08,7.24,-34.06,509
10290,-0.91,-0.33,-0.03,-20.08,2.75,-28.04,509
10310,-0.86,-0.41,0.04,-17.21,4.66,-28.18,509
10331,-0.88,-0.36,0.08,-6.27,8.92,-28.36,509
10350,-0.93,-0.21,0.06,-4.62,8.07,-26.87,509
10411,-0.94,-0.2,0.0,5.29,10.07,-32.61,509
10430,-0.93,-0.21,-0.01,-1.3,5.35,-35.55,508
10450,-0.86,-0.42,0.01,-3.61,5.07,-37.3,508
10470,-0.83,-0.54,0.09,4.71,9.72,-37.37,508
10490,-0.88,-0.47,0.11,7.9,11.93,-35.62,508
10510,-0.83,-0.48,0.06,13.76,12.78,-36.29,508
10530,-0.86,-0.45,0.06,29.57,19.43,-42.36,508
10550,-0.94,-0.38,0.09,48.5,20.43,-51.55,508
10570,-0.92,-0.21,-0.15,42.65,19.56,-43.95,508
10590,-0.89,-0.28,-0.09,22.13,13.53,-47.39,508
10610,-0.86,-0.45,0.04,25.98,13.61,-52.2,508
10630,-0.86,-0.43,0.07,40.51,19.61,-54.79,508
10650,-0.87,-0.38,0.11,48.21,22.04,-62.62,509
10671,-0.87,-0.32,0.09,55.93,23.75,-68.76,509
10690,-0.92,-0.24,-0.07,28.5,13.5,-61.43,510
10711,-0.92,-0.37,-0.02,32.05,19.59,-75.14,510
10730,-0.99,-0.29,0.09,53.46,25.17,-88.07,511
10750,-1.14,-0.2,0.08,65.15,26.95,-108.87,512
10770,-1.42,-0.27,0.34,86.85,32.49,-137.2,515
10790,-1.62,-0.44,0.34,111.89,28.83,-164.85,517
10810,-1.53,-0.46,0.33,114.86,18.51,-162.0,518
10830,-0.93,-0.45,0.21,73.14,-7.35,-135.11,517
10850,-0.55,-0.58,0.16,25.05,-15.02,-101.04,516
10870,-0.62,-0.76,0.17,-15.06,-20.15,-81.62,515
10890,-0.57,-0.96,0.03,-21.35,-25.37,-63.4,514
10910,-0.35,-0.94,-0.1,-8.85,-17.58,-35.04,513
10930,-0.26,-0.96,0.06,12.94,-8.13,-14.58,512
10950,-0.01,-0.96,-0.08,26.54,-1.78,-1.31,511
10971,-0.24,-0.74,0.26,57.52,24.11,56.57,510
10990,-0.23,-0.59,0.07,5.55,-18.56,88.93,510
11011,-0.32,-0.64,0.18,-19.95,-20.01,118.08,510
11030,-0.26,-0.76,0.14,-25.78,-25.22,146.14,510
11051,-0.29,-0.76,0.19,-4.63,-10.21,170.4,510
11070,-0.45,-0.76,0.15,15.21,-4.6,185.77,510
11090,-0.58,-0.58,0.23,8.27,-7.92,200.7,511
11110,-0.7,-0.51,0.27,-8.95,-3.29,203.39,511
11130,-0.75,-0.55,0.2,-26.68,-12.71,207.25,511
11150,-0.82,-0.56,0.14,-30.54,-8.62,204.98,511
11170,-0.85,-0.54,0.13,-28.57,-9.25,205.61,511
11190,-0.83,-0.5,0.11,-16.11,-1.4,203.61,510
11210,-0.91,-0.43,0.23,2.5,18.68,184.8,509
11230,-0.89,-0.27,0.22,3.41,11.03,180.38,508
11250,-0.93,-0.13,0.07,0.24,13.09,146.75,507
11270,-1.04,-0.11,0.16,-3.04,16.05,116.8,508
11290,-0.98,-0.0,0.07,-2.53,11.78,94.4,509
11311,-0.99,-0.03,-0.03,-6.83,12.11,48.05,510
11330,-0.93,-0.11,0.12,2.31,14.53,26.08,511
11351,-0.87,-0.11,0.08,15.63,20.05,-2.9,511
11370,-0.95,-0.04,0.11,0.62,11.75,-21.54,511
11390,-0.88,-0.08,0.16,-28.95,1.12,-34.18,511
11410,-0.85,-0.07,0.12,-58.25,-9.61,-44.21,510
