Feature;Value
ApplicationName;GaitAnalysis
TestType;Worker
DeviceURL;http://192.168.2.151:27592
ThreadIndex;0
DataUserNo;1
DataStepLength;20
CalibrationDataLength;224
TestDataLength;300
TestDataRepeatCount;1
ThreadCreated;1693188490.066189
ThreadStarted;1693188490.067188
WorkerResourceThreadStarted;1693188490.068204
DeviceConnected;1693188490.098727
Filename;0_2023_08_28_05_08_11_2AeMY_b9HHBZo953AAAd.json
ProcessReady;1693188490.126277
FirstDataSent;1693188490.309126
FirstResponseReceived;1693188490.316714
TheadStopped;1693188500.804218
