Feature;Value
ApplicationName;GaitAnalysis
TestType;Cloud
DeviceURL;http://164.92.168.129:27592
ThreadIndex;0
DataUserNo;1
DataStepLength;20
CalibrationDataLength;224
TestDataLength;18000
TestDataRepeatCount;1
ThreadCreated;1693160914.364929
ThreadStarted;1693160914.366328
WorkerResourceThreadStarted;1693160914.36733
DeviceConnected;1693160914.679467
Filename;0_2023_08_27_18_28_35_LBGIfmPrhMcBGcMxAAAP.json
ProcessReady;1693160914.733748
FirstDataSent;1693160914.893248
FirstResponseReceived;1693160914.945399
TheadStopped;1693161279.37525
