Time,AccX,AccY,AccZ,GyroX,GyroY,GyroZ,Capacitance
7265,-0.9,-0.32,0.15,4.0,-1.96,-0.81,515
7285,-0.9,-0.3,0.15,3.97,-1.0,-0.42,513
7305,-0.9,-0.33,0.15,1.74,-2.14,0.84,513
7325,-0.85,-0.36,0.16,4.15,0.18,0.16,513
7345,-0.91,-0.29,0.16,7.62,1.02,-0.9,513
7365,-0.93,-0.23,0.16,1.36,-2.8,0.63,513
7386,-0.88,-0.29,0.14,-0.65,-2.59,0.13,513
7405,-0.88,-0.3,0.15,0.4,-1.85,-0.52,513
7426,-0.91,-0.26,0.15,-0.94,-1.93,-1.08,513
7445,-0.93,-0.23,0.15,-5.83,-3.9,-2.13,513
7465,-0.93,-0.25,0.14,-7.07,-4.83,-4.29,513
7485,-0.91,-0.31,0.12,-8.06,-5.85,-4.18,513
7505,-0.86,-0.35,0.12,-5.26,-4.16,-3.97,513
7525,-0.89,-0.36,0.15,-0.23,-1.9,-4.36,512
7545,-0.91,-0.31,0.14,3.93,-1.84,-5.43,512
7565,-0.93,-0.26,0.11,5.12,-1.29,-7.23,512
7585,-0.93,-0.26,0.15,4.8,-0.62,-8.39,512
7605,-0.92,-0.25,0.14,3.18,-2.37,-9.71,512
7625,-0.93,-0.25,0.13,2.17,-3.67,-10.96,512
7645,-0.9,-0.28,0.14,3.32,-3.55,-12.26,512
7665,-0.89,-0.34,0.16,9.24,-3.09,-16.36,512
7686,-0.93,-0.3,0.15,14.09,-2.77,-19.14,512
7706,-0.95,-0.22,0.14,11.67,-4.68,-20.36,512
7727,-0.99,-0.18,0.14,8.34,-8.52,-21.28,512
7746,-1.01,-0.04,0.15,9.01,-7.35,-25.36,512
7767,-1.02,-0.04,0.23,12.64,0.41,-38.15,513
7786,-0.96,-0.19,0.25,-2.29,-7.76,-41.55,513
7806,-0.86,-0.38,0.26,-13.45,-10.6,-33.55,513
7826,-0.75,-0.56,0.23,-13.66,-10.27,-22.91,512
7846,-0.82,-0.41,0.24,-3.46,-5.21,3.82,512
7866,-0.85,-0.34,0.25,-9.95,-5.53,18.32,512
7886,-0.81,-0.41,0.21,-0.85,-0.27,31.97,513
7906,-0.85,-0.42,0.24,16.43,7.92,42.8,513
7926,-0.84,-0.34,0.24,26.48,12.19,55.38,513
7946,-0.9,-0.21,0.24,25.59,13.95,65.36,514
7966,-0.94,-0.14,0.22,17.51,11.09,70.64,514
7986,-0.9,-0.22,0.21,12.72,10.1,72.31,514
8006,-0.93,-0.2,0.2,14.77,10.77,73.0,514
8027,-0.92,-0.17,0.19,10.25,8.48,77.55,514
8046,-0.9,-0.16,0.18,7.68,5.95,74.46,514
8067,-0.92,-0.18,0.18,9.45,9.83,69.91,514
8086,-0.91,-0.09,0.17,5.39,7.25,71.48,514
8107,-0.92,-0.07,0.11,-6.58,2.18,64.32,514
8126,-0.91,-0.13,0.16,-9.1,2.36,56.43,514
8146,-0.88,-0.14,0.17,-7.01,1.78,50.9,514
8166,-0.88,-0.09,0.15,-4.21,4.15,41.59,514
8186,-0.93,-0.09,0.14,-8.21,2.91,34.63,514
8206,-0.92,-0.04,0.17,-11.14,2.24,28.17,514
8226,-0.94,-0.04,0.09,-18.21,-1.84,19.61,514
8246,-0.96,-0.08,0.13,-23.66,-2.86,11.44,514
8266,-0.91,-0.16,0.18,-20.47,-1.29,3.01,514
8286,-0.86,-0.13,0.19,-17.71,0.42,-4.52,514
8306,-0.93,-0.08,0.15,-25.11,-1.1,-15.13,514
8326,-0.93,-0.03,0.14,-42.12,-9.27,-20.01,514
8346,-0.9,-0.05,0.09,-59.62,-11.81,-36.7,514
8367,-0.92,-0.34,0.17,-71.43,-13.41,-48.7,513
8386,-0.99,-0.29,0.4,-40.12,10.09,-19.05,513
8407,-1.33,-0.1,0.48,-7.94,14.77,-30.52,514
8426,-1.07,-0.09,0.24,-45.25,-25.15,-53.45,514
8446,-0.6,-0.43,0.02,-40.38,-4.74,-37.62,513
8466,-0.87,-0.52,-0.07,5.59,22.18,-41.74,513
8486,-0.91,-0.2,0.11,7.53,20.22,-35.92,513
8506,-0.93,-0.16,0.24,-2.12,17.17,-33.66,513
8526,-0.92,-0.1,0.22,-16.93,6.42,-31.11,513
8546,-0.83,-0.32,0.14,-12.78,12.64,-34.59,513
8566,-1.0,-0.29,-0.04,-2.26,18.83,-32.04,513
8586,-0.96,-0.11,0.02,-19.1,8.44,-28.79,512
8606,-0.96,-0.2,0.06,-27.69,7.12,-31.08,512
