Feature;Value
ApplicationName;GaitAnalysis
TestType;Broker
DeviceURL;http://192.168.2.125:27592
ThreadIndex;0
DataUserNo;1
DataStepLength;20
CalibrationDataLength;224
TestDataLength;300
TestDataRepeatCount;1
ThreadCreated;1693168179.662922
ThreadStarted;1693168179.663843
WorkerResourceThreadStarted;1693168179.664848
DeviceConnected;1693168179.712991
Filename;0_2023_08_27_23_29_41_vJdyeGbTUVFjwcLoAAAz.json
ProcessReady;1693168179.720474
FirstDataSent;1693168179.927171
FirstResponseReceived;1693168179.934322
TheadStopped;1693168190.421242
