Feature;Value
ApplicationName;GaitAnalysis
TestType;System
DeviceURL;http://164.92.168.129:27592
ThreadIndex;0
DataUserNo;1
DataStepLength;20
CalibrationDataLength;224
TestDataLength;300
TestDataRepeatCount;1
ThreadCreated;1692404166.226117
ThreadStarted;1692404166.226117
AssignFogNode_Latitude;41.0138
AssignFogNode_Longitude;28.9497
AssignFogNodeRequested;1692404166.226117
BrokerIPAssigned;1692404166.331056
BrokerIP;192.168.2.125
BrokerType;LAN
BrokerDistance;0
AssignWorkerDeviceRequested;1692404166.331056
WorkerDeviceAssigned;1692404166.345049
WorkerIP;192.168.2.125
CPU_Usage;1.2626262626262652
WorkerResourceThreadStarted;1692404166.347047
BrokerResourceThreadStarted;1692404166.347047
CloudResourceThreadStarted;1692404166.349046
DeviceConnected;1692404166.391022
Filename;0_2023_08_19_03_16_07_zNBGxVhuhjKJ9fayAAAr.json
ProcessReady;1692404166.420005
FirstDataSent;1692404166.601928
FirstResponseReceived;1692404166.610425
TheadStopped;1692404177.085821
