Feature;Value
ApplicationName;GaitAnalysis
TestType;Cloud
DeviceURL;http://164.92.168.129:27592
ThreadIndex;0
DataUserNo;1
DataStepLength;20
CalibrationDataLength;224
TestDataLength;300
TestDataRepeatCount;1
ThreadCreated;1693163088.857288
ThreadStarted;1693163088.858217
WorkerResourceThreadStarted;1693163088.858217
DeviceConnected;1693163089.151107
Filename;0_2023_08_27_19_04_49_lKHAbEulJYzUKsP-AAAh.json
ProcessReady;1693163089.201161
FirstDataSent;1693163089.365258
FirstResponseReceived;1693163089.412858
TheadStopped;1693163099.853159
