Feature;Value
ApplicationName;GaitAnalysis
TestType;Broker
DeviceURL;http://192.168.2.125:27592
ThreadIndex;1
DataUserNo;-1
DataStepLength;-1
CalibrationDataLength;300
TestDataLength;300
TestDataRepeatCount;1
ThreadCreated;1683197.972969
BluetoothConnected;1683197.998580
ThreadStarted:1683232.249334
SocketInitialized;1683232.254577
DeviceConnected:1683232.350100
FilenameTime:1683232.369406
Filename:1_2023_08_18_23_20_06_YmMGja0G6fDqGKgHAAAw.json
ProcessReady;1683232.376141
FirstResponseReceived;1683232.422268
