Feature;Value
ApplicationName;GaitAnalysis
TestType;System
DeviceURL;http://164.92.168.129:27592
ThreadIndex;1
DataUserNo;-1
DataStepLength;-1
CalibrationDataLength;300
TestDataLength;300
TestDataRepeatCount;1
ThreadCreated;1653997.032000
BluetoothConnected;1653997.073586
ThreadStarted:1654006.721804
AssignFogNode_Latitude;41.1073167
AssignFogNode_Longitude;28.7827155
AssignFogNodeRequested;1654006.725907
AssignWorkerDeviceRequested;1654006.983670
BrokerIPAssigned;1654006.982686
BrokerIP;212.253.104.215
BrokerType;WAN
BrokerDistance;17.817096378779162
SocketInitialized;1654007.095057
WorkerDeviceAssigned;1654007.082813
WorkerIP;192.168.2.151
CPU_Usage;2.244389027431426
DeviceConnected:1654007.377337
FilenameTime:1654007.430986
Filename:undefined_2023_08_18_14_42_27_V3WbBihOiCuwQFKZAAAf.json
FilenameTime:1654007.473425
Filename:1_2023_08_18_14_42_27_U4ORboBKO09Kil3PAAAd.json
ProcessReady;1654007.474523
FirstResponseReceived;1654007.538870
