Feature;Value
ApplicationName;GaitAnalysis
TestType;Cloud
DeviceURL;http://164.92.168.129:27592
ThreadIndex;0
DataUserNo;1
DataStepLength;20
CalibrationDataLength;224
TestDataLength;300
TestDataRepeatCount;1
ThreadCreated;1693163410.016206
ThreadStarted;1693163410.017131
WorkerResourceThreadStarted;1693163410.017131
DeviceConnected;1693163410.306312
Filename;0_2023_08_27_19_10_11_Qv9eLNArZam9AamcAAA7.json
ProcessReady;1693163410.356245
FirstDataSent;1693163410.52153
FirstResponseReceived;1693163410.568091
TheadStopped;1693163421.005925
