Feature;Value
ApplicationName;GaitAnalysis
TestType;System
DeviceURL;http://164.92.168.129:27592
ThreadIndex;0
DataUserNo;1
DataStepLength;20
CalibrationDataLength;224
TestDataLength;18000
TestDataRepeatCount;1
ThreadCreated;1692436676.100614
ThreadStarted;1692436676.101613
AssignFogNode_Latitude;41.0138
AssignFogNode_Longitude;28.9497
AssignFogNodeRequested;1692436676.101613
BrokerIPAssigned;1692436676.249528
BrokerIP;212.253.104.215
BrokerType;WAN
BrokerDistance;0.5686438102936416
AssignWorkerDeviceRequested;1692436676.249528
WorkerDeviceAssigned;1692436676.348595
WorkerIP;212.253.104.215
CPU_Usage;1.0075566750629705
WorkerResourceThreadStarted;1692436676.350517
CloudResourceThreadStarted;1692436676.351497
DeviceConnected;1692436676.656485
Filename;undefined_2023_08_19_12_17_58_OJBk_k_U8Eo3zz0cAAAH.json
Filename;0_2023_08_19_12_17_57_96LrUJDvIGOcLCXbAAAF.json
ProcessReady;1692436676.808564
FirstDataSent;1692436676.869918
FirstResponseReceived;1692436676.920615
TheadStopped;1692437041.363637
