Feature;Value
ApplicationName;GaitAnalysis
TestType;Cloud
DeviceURL;http://164.92.168.129:27592
ThreadIndex;1
DataUserNo;-1
DataStepLength;-1
CalibrationDataLength;300
TestDataLength;300
TestDataRepeatCount;1
ThreadCreated;1672599.438437
BluetoothConnected;1672599.462012
ThreadStarted:1672605.896748
SocketInitialized;1672605.905441
DeviceConnected:1672606.496571
FilenameTime:1672606.604595
Filename:1_2023_08_18_17_22_55_UmxsHG89tE91hpflAAAz.json
ProcessReady;1672606.700742
FirstResponseReceived;1672606.903963
