Feature;Value
ApplicationName;GaitAnalysis
TestType;Cloud
DeviceURL;http://164.92.168.129:27592
ThreadIndex;1
DataUserNo;-1
DataStepLength;-1
CalibrationDataLength;300
TestDataLength;300
TestDataRepeatCount;1
ThreadCreated;1670732.272650
BluetoothConnected;1670732.296476
ThreadStarted:1670754.494744
SocketInitialized;1670754.499574
DeviceConnected:1670755.070433
FilenameTime:1670755.136224
Filename:1_2023_08_18_16_22_11_gRo5fFHh6sOl_BGBAAAJ.json
ProcessReady;1670755.191705
FirstResponseReceived;1670755.269001
