Feature;Value
ApplicationName;GaitAnalysis
TestType;Worker
DeviceURL;http://192.168.2.151:27592
ThreadIndex;1
DataUserNo;-1
DataStepLength;-1
CalibrationDataLength;300
TestDataLength;18000
TestDataRepeatCount;1
ThreadCreated;1683928.361681
BluetoothConnected;1683928.386163
ThreadStarted:1683934.351450
SocketInitialized;1683934.356616
DeviceConnected:1683934.462612
FilenameTime:1683934.480642
Filename:1_2023_08_18_23_31_48_f00prP_cnZcLq3_WAABF.json
ProcessReady;1683934.494835
FirstResponseReceived;1683934.547800
