Feature;Value
ApplicationName;GaitAnalysis
TestType;Cloud
DeviceURL;http://164.92.168.129:27592
ThreadIndex;0
DataUserNo;1
DataStepLength;20
CalibrationDataLength;224
TestDataLength;300
TestDataRepeatCount;1
ThreadCreated;1695642779.043389
ThreadStarted;1695642779.044393
WorkerResourceThreadStarted;1695642779.046397
DeviceConnected;1695642779.560404
Filename;0_2023_09_25_11_52_59_dgrwK_v2uvOc5jQpAAC1.json
ProcessReady;1695642779.633475
FirstDataSent;1695642779.768339
FirstResponseReceived;1695642779.844365
TheadStopped;1695642790.250671
