Feature;Value
ApplicationName;GaitAnalysis
TestType;System
DeviceURL;http://164.92.168.129:27592
ThreadIndex;1
DataUserNo;-1
DataStepLength;-1
CalibrationDataLength;300
TestDataLength;300
TestDataRepeatCount;1
ThreadCreated;1654272.383539
BluetoothConnected;1654272.423949
ThreadStarted:1654278.574878
AssignFogNode_Latitude;41.1073304
AssignFogNode_Longitude;28.7826937
AssignFogNodeRequested;1654278.579158
AssignWorkerDeviceRequested;1654278.842468
BrokerIPAssigned;1654278.841587
BrokerIP;212.253.104.215
BrokerType;WAN
BrokerDistance;17.81947344409186
SocketInitialized;1654278.942700
WorkerDeviceAssigned;1654278.930179
WorkerIP;192.168.2.151
CPU_Usage;1.2594458438287104
DeviceConnected:1654279.257043
FilenameTime:1654279.349180
Filename:undefined_2023_08_18_14_46_59_qCg2fvCalvaJ0YOnAAAn.json
FilenameTime:1654279.382905
Filename:1_2023_08_18_14_46_59_gMZ8uiTWz9RgZNCIAAAl.json
ProcessReady;1654279.383804
FirstResponseReceived;1654279.470251
