Feature;Value
ApplicationName;GaitAnalysis
TestType;System
DeviceURL;http://164.92.168.129:27592
ThreadIndex;1
DataUserNo;-1
DataStepLength;-1
CalibrationDataLength;300
TestDataLength;18000
TestDataRepeatCount;1
ThreadCreated;1649124.706491
BluetoothConnected;1649124.783250
ThreadStarted:1649134.689465
AssignFogNode_Latitude;41.1073293
AssignFogNode_Longitude;28.7827509
AssignFogNodeRequested;1649134.694503
AssignWorkerDeviceRequested;1649134.854168
BrokerIPAssigned;1649134.853188
BrokerIP;212.253.104.215
BrokerType;WAN
BrokerDistance;17.815618448756158
SocketInitialized;1649134.964928
WorkerDeviceAssigned;1649134.949992
WorkerIP;192.168.2.151
CPU_Usage;1.2594458438287104
DeviceConnected:1649135.235775
FilenameTime:1649135.290014
Filename:undefined_2023_08_18_12_44_16_AY5zMG0p8oJ_uRbVAAAP.json
FilenameTime:1649135.332519
Filename:1_2023_08_18_12_44_16_KFuKa5uLpvs_5jxEAAAN.json
ProcessReady;1649135.337990
FirstResponseReceived;1649135.390196
