Feature;Value
ApplicationName;GaitAnalysis
TestType;Worker
DeviceURL;http://192.168.2.151:27592
ThreadIndex;0
DataUserNo;1
DataStepLength;20
CalibrationDataLength;224
TestDataLength;18000
TestDataRepeatCount;1
ThreadCreated;1693187270.363087
ThreadStarted;1693187270.364058
WorkerResourceThreadStarted;1693187270.364058
DeviceConnected;1693187270.423269
Filename;0_2023_08_28_04_47_51_u5mqM7siyTM6Buv8AAAP.json
ProcessReady;1693187270.443548
FirstDataSent;1693187270.628223
FirstResponseReceived;1693187270.636452
TheadStopped;1693187635.117145
