Feature;Value
ApplicationName;GaitAnalysis
TestType;System
DeviceURL;http://164.92.168.129:27592
ThreadIndex;0
DataUserNo;1
DataStepLength;20
CalibrationDataLength;224
TestDataLength;300
TestDataRepeatCount;1
ThreadCreated;1692439720.676468
ThreadStarted;1692439720.676468
AssignFogNode_Latitude;41.0138
AssignFogNode_Longitude;28.9497
AssignFogNodeRequested;1692439720.676468
BrokerIPAssigned;1692439720.840834
BrokerIP;212.253.104.215
BrokerType;WAN
BrokerDistance;0.5686438102936416
AssignWorkerDeviceRequested;1692439720.840834
WorkerDeviceAssigned;1692439720.932468
WorkerIP;212.253.104.215
CPU_Usage;1.5037593984962405
WorkerResourceThreadStarted;1692439720.934467
CloudResourceThreadStarted;1692439720.934467
DeviceConnected;1692439721.267762
Filename;undefined_2023_08_19_13_08_43_qoHqD8-oBY-PUZ20AAAv.json
Filename;0_2023_08_19_13_08_42_NDuj6jlzF2Vf5whAAAAt.json
ProcessReady;1692439721.407412
FirstDataSent;1692439721.483991
FirstResponseReceived;1692439721.532335
TheadStopped;1692439731.975645
