Feature;Value
ApplicationName;GaitAnalysis
TestType;Cloud
DeviceURL;http://164.92.168.129:27592
ThreadIndex;0
DataUserNo;1
DataStepLength;20
CalibrationDataLength;224
TestDataLength;18000
TestDataRepeatCount;1
ThreadCreated;1695638348.255671
ThreadStarted;1695638348.256575
WorkerResourceThreadStarted;1695638348.257578
DeviceConnected;1695638348.773742
Filename;0_2023_09_25_10_39_08_uqNZVY6u1CmhbnQ8AABz.json
ProcessReady;1695638348.849932
FirstDataSent;1695638348.980392
FirstResponseReceived;1695638349.052799
TheadStopped;1695638713.489837
