Feature;Value
ApplicationName;GaitAnalysis
TestType;System
DeviceURL;http://164.92.168.129:27592
ThreadIndex;1
DataUserNo;-1
DataStepLength;-1
CalibrationDataLength;300
TestDataLength;300
TestDataRepeatCount;1
ThreadCreated;1637269.259551
BluetoothConnected;1637269.286632
ThreadStarted:1637284.732372
AssignFogNode_Latitude;41.1073293
AssignFogNode_Longitude;28.7827509
AssignFogNodeRequested;1637284.734611
AssignWorkerDeviceRequested;1637285.083812
BrokerIPAssigned;1637285.082580
BrokerIP;192.168.2.125
BrokerType;LAN
BrokerDistance;0
SocketInitialized;1637285.113356
WorkerDeviceAssigned;1637285.107081
WorkerIP;192.168.2.151
CPU_Usage;1.5075376884422065
DeviceConnected:1637285.192742
FilenameTime:1637285.219166
Filename:1_2023_08_18_09_24_53_Qp6gYdfW0u8swZz4AAAh.json
ProcessReady;1637285.229218
FirstResponseReceived;1637285.269270
