Feature;Value
ApplicationName;GaitAnalysis
TestType;System
DeviceURL;http://164.92.168.129:27592
ThreadIndex;1
DataUserNo;-1
DataStepLength;-1
CalibrationDataLength;300
TestDataLength;300
TestDataRepeatCount;1
ThreadCreated;1653839.644687
BluetoothConnected;1653839.681624
ThreadStarted:1653851.598302
AssignFogNode_Latitude;41.1073167
AssignFogNode_Longitude;28.7827155
AssignFogNodeRequested;1653851.602555
AssignWorkerDeviceRequested;1653851.777760
BrokerIPAssigned;1653851.776931
BrokerIP;212.253.104.215
BrokerType;WAN
BrokerDistance;17.817096378779162
SocketInitialized;1653851.879516
WorkerDeviceAssigned;1653851.864657
WorkerIP;192.168.2.151
CPU_Usage;1.5113350125944613
DeviceConnected:1653852.154261
FilenameTime:1653852.203989
Filename:undefined_2023_08_18_14_39_52_oIM8yoJOXYRgjb1WAAAZ.json
FilenameTime:1653852.239510
Filename:1_2023_08_18_14_39_52_NITw0xGeANIhVR_ZAAAX.json
ProcessReady;1653852.262753
FirstResponseReceived;1653852.331512
