Feature;Value
ApplicationName;GaitAnalysis
TestType;Worker
DeviceURL;http://192.168.2.151:27592
ThreadIndex;0
DataUserNo;1
DataStepLength;20
CalibrationDataLength;224
TestDataLength;18000
TestDataRepeatCount;1
ThreadCreated;1693186513.650379
ThreadStarted;1693186513.651374
WorkerResourceThreadStarted;1693186513.652393
DeviceConnected;1693186513.693996
Filename;0_2023_08_28_04_35_15_ba60kTF53qZaawG5AAAL.json
ProcessReady;1693186513.718168
FirstDataSent;1693186513.900126
FirstResponseReceived;1693186513.908677
TheadStopped;1693186878.391574
