Feature;Value
ApplicationName;GaitAnalysis
TestType;Cloud
DeviceURL;http://164.92.168.129:27592
ThreadIndex;1
DataUserNo;-1
DataStepLength;-1
CalibrationDataLength;300
TestDataLength;300
TestDataRepeatCount;1
ThreadCreated;1670986.493185
BluetoothConnected;1670986.515805
ThreadStarted:1670992.788834
SocketInitialized;1670992.794368
DeviceConnected:1670993.355407
FilenameTime:1670993.460101
Filename:1_2023_08_18_16_26_09_ppLqRnDBJC2nBohzAAAN.json
ProcessReady;1670993.562204
FirstResponseReceived;1670993.767741
