Feature;Value
ApplicationName;GaitAnalysis
TestType;Cloud
DeviceURL;http://164.92.168.129:27592
ThreadIndex;1
DataUserNo;-1
DataStepLength;-1
CalibrationDataLength;300
TestDataLength;18000
TestDataRepeatCount;1
ThreadCreated;1667541.651860
BluetoothConnected;1667541.675053
ThreadStarted:1667549.187261
SocketInitialized;1667549.192802
DeviceConnected:1667549.933221
FilenameTime:1667550.028320
Filename:1_2023_08_18_15_28_45_p5sB-H51OlbGFsH0AAAN.json
ProcessReady;1667550.130639
FirstResponseReceived;1667550.341999
