Feature;Value
ApplicationName;GaitAnalysis
TestType;Cloud
DeviceURL;http://164.92.168.129:27592
ThreadIndex;1
DataUserNo;-1
DataStepLength;-1
CalibrationDataLength;300
TestDataLength;300
TestDataRepeatCount;1
ThreadCreated;1671469.796801
BluetoothConnected;1671469.819726
ThreadStarted:1671474.523273
SocketInitialized;1671474.528183
DeviceConnected:1671475.034053
FilenameTime:1671475.139135
Filename:1_2023_08_18_16_34_12_J9rPirB8S0MDEQ7OAAAd.json
ProcessReady;1671475.192172
FirstResponseReceived;1671475.289404
