Feature;Value
ApplicationName;GaitAnalysis
TestType;Cloud
DeviceURL;http://164.92.168.129:27592
ThreadIndex;0
DataUserNo;1
DataStepLength;20
CalibrationDataLength;224
TestDataLength;18000
TestDataRepeatCount;1
ThreadCreated;1693162050.776753
ThreadStarted;1693162050.777757
WorkerResourceThreadStarted;1693162050.778755
DeviceConnected;1693162051.08327
Filename;0_2023_08_27_18_47_31_l45nuv9MdhiBECNlAAAV.json
ProcessReady;1693162051.136854
FirstDataSent;1693162051.293513
FirstResponseReceived;1693162051.344913
TheadStopped;1693162415.775259
