Time,AccX,AccY,AccZ,GyroX,GyroY,GyroZ,Capacitance
7266,-0.9,-0.3,0.03,-2.06,0.07,-0.86,469
7286,-0.9,-0.28,0.02,-1.43,0.15,-1.25,466
7306,-0.91,-0.29,0.02,-1.97,0.01,-1.34,466
7326,-0.9,-0.32,0.02,-1.75,0.36,-1.44,467
7346,-0.91,-0.3,0.01,-0.12,0.88,-1.02,467
7366,-0.91,-0.29,0.02,-0.59,0.86,-1.28,466
7387,-0.91,-0.29,0.03,-1.17,0.54,-1.28,466
7406,-0.9,-0.31,0.03,-0.84,0.57,-1.62,466
7427,-0.9,-0.31,0.02,-0.23,0.62,-1.33,466
7446,-0.91,-0.3,0.02,-0.24,0.56,-1.62,466
7467,-0.9,-0.31,0.01,-0.07,0.6,-1.47,466
7486,-0.9,-0.31,0.01,1.12,0.7,-1.44,466
7506,-0.9,-0.3,0.02,1.13,0.33,-1.6,466
7526,-0.91,-0.32,0.02,0.96,0.65,-1.59,466
7546,-0.9,-0.31,0.01,0.46,-0.14,-2.34,466
7566,-0.92,-0.34,-0.0,4.72,1.96,-1.97,466
7586,-0.9,-0.26,-0.02,5.15,0.45,-2.25,466
7606,-0.91,-0.36,0.04,8.41,2.01,-3.85,466
7626,-0.89,-0.26,0.05,9.89,1.73,-2.58,467
7646,-0.92,-0.24,0.03,0.31,-0.39,-3.22,467
7666,-0.92,-0.33,-0.01,0.38,0.18,-3.59,467
7686,-0.91,-0.3,-0.02,6.48,1.52,-3.24,467
7706,-0.91,-0.29,0.02,5.79,0.8,-3.59,467
7727,-0.91,-0.28,0.03,4.29,0.25,-3.73,467
7746,-0.9,-0.3,0.01,2.78,0.45,-4.92,467
7767,-0.9,-0.36,0.01,9.22,3.26,-5.92,467
7786,-0.93,-0.3,0.02,14.67,3.75,-5.92,467
7806,-0.92,-0.19,0.02,9.48,2.11,-4.64,467
7826,-0.94,-0.17,0.02,-1.22,-0.42,-5.34,467
7846,-0.89,-0.3,0.02,-2.03,-0.85,-8.49,467
7866,-0.92,-0.37,0.03,7.83,2.74,-9.91,468
7886,-0.9,-0.31,0.01,11.27,3.52,-8.73,468
7906,-0.91,-0.29,0.03,7.19,2.47,-9.18,468
7926,-0.93,-0.25,0.04,0.48,-0.74,-9.48,468
7946,-0.91,-0.27,0.02,-4.06,-1.61,-10.18,468
7966,-0.92,-0.31,0.02,-4.9,-1.61,-11.59,469
7986,-0.93,-0.31,0.03,-2.38,-1.61,-13.25,469
8006,-0.96,-0.18,0.05,-2.06,-1.11,-13.63,469
8027,-1.03,-0.09,0.13,-6.94,-5.15,-16.5,471
8046,-0.96,0.0,0.14,-3.19,4.21,-21.83,472
8067,-0.87,0.07,0.27,-7.89,7.29,-47.37,474
8086,-0.97,-0.14,0.13,-21.63,8.59,-53.34,476
8107,-0.99,-0.35,0.02,-38.27,2.57,-42.86,478
8126,-0.83,-0.57,0.01,-25.94,7.05,-41.24,477
8146,-0.81,-0.66,0.05,-0.56,16.39,-41.34,478
8166,-0.94,-0.44,0.15,18.25,13.21,-22.34,478
8186,-1.01,-0.27,0.16,13.65,-1.72,-2.12,480
8206,-1.0,-0.26,0.12,0.2,-4.86,9.57,480
8226,-0.94,-0.43,0.12,-5.3,-20.74,20.63,480
8246,-0.89,-0.46,0.11,1.57,-22.63,36.9,481
8266,-0.96,-0.4,0.11,6.2,-28.77,49.79,482
8286,-0.94,-0.4,0.12,8.14,-33.95,57.54,482
8306,-0.9,-0.39,0.1,6.44,-37.89,69.5,481
8326,-0.9,-0.4,0.1,10.4,-42.51,82.5,481
8346,-0.85,-0.31,0.13,14.46,-43.24,92.46,480
8367,-0.81,-0.29,0.06,11.91,-37.11,88.61,479
8386,-0.92,-0.28,0.05,4.35,-44.01,92.37,478
8407,-0.84,-0.18,0.13,-12.04,-53.89,97.89,477
8426,-0.74,-0.26,0.08,-27.91,-57.15,89.53,476
8446,-0.84,-0.31,0.16,-22.88,-50.79,83.31,476
8466,-0.79,-0.2,0.18,-19.46,-42.24,75.31,476
8486,-0.82,-0.29,0.08,-14.46,-31.12,51.27,476
8506,-0.91,-0.32,0.17,-1.25,-21.46,40.52,476
8526,-0.81,-0.13,0.13,2.81,-10.47,25.71,476
8546,-0.9,-0.09,0.07,-2.5,-2.59,1.45,476
8566,-0.88,-0.19,0.08,-12.61,1.7,-12.02,475
8586,-0.76,-0.27,0.07,-11.45,10.91,-24.28,475
8606,-0.74,-0.24,0.0,-12.4,19.81,-41.77,475
8626,-0.92,-0.15,0.08,-24.98,27.41,-44.99,475
8646,-1.05,-0.17,0.37,-29.89,21.89,-24.47,475
8667,-1.39,-0.16,0.59,-15.51,12.01,8.67,478
8686,-1.03,-0.06,0.23,-22.11,9.67,-25.42,477
8707,-0.95,-0.1,0.01,-49.83,15.82,-37.56,476
8726,-0.92,-0.36,-0.18,-37.83,25.09,-23.79,475
8747,-0.89,-0.43,-0.01,11.02,37.11,-26.64,475
8766,-0.9,-0.16,0.13,11.15,34.27,-24.47,475
8786,-0.94,-0.1,0.23,-2.3,32.25,-29.54,476
8806,-0.89,-0.07,0.11,-16.81,25.15,-24.29,476
8826,-0.95,-0.19,-0.05,-31.04,24.13,-28.0,475
8846,-0.93,-0.35,-0.08,-27.27,21.61,-26.61,474
8866,-0.92,-0.33,-0.06,-16.4,21.61,-23.19,474
8886,-0.93,-0.3,-0.03,-15.54,19.89,-24.06,474
8906,-0.9,-0.32,0.04,-11.54,20.21,-21.31,475
8926,-0.94,-0.21,0.0,-12.79,19.2,-19.99,475
8946,-0.93,-0.26,-0.07,-16.18,15.12,-21.33,474
