Feature;Value
ApplicationName;GaitAnalysis
TestType;System
DeviceURL;http://164.92.168.129:27592
ThreadIndex;1
DataUserNo;-1
DataStepLength;-1
CalibrationDataLength;300
TestDataLength;300
TestDataRepeatCount;1
ThreadCreated;1654380.625443
BluetoothConnected;1654380.667204
ThreadStarted:1654415.995413
AssignFogNode_Latitude;41.1073304
AssignFogNode_Longitude;28.7826937
AssignFogNodeRequested;1654416.000349
AssignWorkerDeviceRequested;1654416.238325
BrokerIPAssigned;1654416.237402
BrokerIP;212.253.104.215
BrokerType;WAN
BrokerDistance;17.81947344409186
SocketInitialized;1654416.344164
WorkerDeviceAssigned;1654416.331160
WorkerIP;192.168.2.151
CPU_Usage;1.2658227848101222
DeviceConnected:1654416.634815
FilenameTime:1654416.719963
Filename:undefined_2023_08_18_14_49_17_17mMipjxTZatdkWFAAAt.json
FilenameTime:1654416.755734
Filename:1_2023_08_18_14_49_16_3kuBjcohsUA2Pp1eAAAr.json
ProcessReady;1654416.757311
FirstResponseReceived;1654416.872783
