Feature;Value
ApplicationName;GaitAnalysis
TestType;System
DeviceURL;http://164.92.168.129:27592
ThreadIndex;1
DataUserNo;-1
DataStepLength;-1
CalibrationDataLength;300
TestDataLength;300
TestDataRepeatCount;1
ThreadCreated;1654547.586447
BluetoothConnected;1654547.628602
ThreadStarted:1654568.647833
AssignFogNode_Latitude;41.1073304
AssignFogNode_Longitude;28.7826937
AssignFogNodeRequested;1654568.652780
AssignWorkerDeviceRequested;1654568.842475
BrokerIPAssigned;1654568.841581
BrokerIP;212.253.104.215
BrokerType;WAN
BrokerDistance;17.81947344409186
SocketInitialized;1654568.963491
WorkerDeviceAssigned;1654568.948389
WorkerIP;192.168.2.151
CPU_Usage;1.5075376884422065
DeviceConnected:1654569.236571
FilenameTime:1654569.309473
Filename:undefined_2023_08_18_14_51_49_-jcKpZXUJStLmRwZAAAx.json
FilenameTime:1654569.346601
Filename:1_2023_08_18_14_51_49_Fw8Jcwy28nhCec3JAAAv.json
ProcessReady;1654569.351367
FirstResponseReceived;1654569.426089
