Feature;Value
ApplicationName;GaitAnalysis
TestType;System
DeviceURL;http://164.92.168.129:27592
ThreadIndex;0
DataUserNo;1
DataStepLength;20
CalibrationDataLength;224
TestDataLength;300
TestDataRepeatCount;1
ThreadCreated;1692403894.70783
ThreadStarted;1692403894.708834
AssignFogNode_Latitude;41.0138
AssignFogNode_Longitude;28.9497
AssignFogNodeRequested;1692403894.708834
BrokerIPAssigned;1692403894.802187
BrokerIP;192.168.2.125
BrokerType;LAN
BrokerDistance;0
AssignWorkerDeviceRequested;1692403894.803142
WorkerDeviceAssigned;1692403894.81406
WorkerIP;192.168.2.125
CPU_Usage;1.0101010101010055
WorkerResourceThreadStarted;1692403894.821745
BrokerResourceThreadStarted;1692403894.82275
CloudResourceThreadStarted;1692403894.823759
DeviceConnected;1692403894.861344
Filename;0_2023_08_19_03_11_35_9nNVk2jJu7AZ3B1aAAAV.json
ProcessReady;1692403894.889436
FirstDataSent;1692403895.076676
FirstResponseReceived;1692403895.084251
TheadStopped;1692403905.571722
