Feature;Value
ApplicationName;GaitAnalysis
TestType;System
DeviceURL;http://164.92.168.129:27592
ThreadIndex;0
DataUserNo;1
DataStepLength;20
CalibrationDataLength;224
TestDataLength;18000
TestDataRepeatCount;1
ThreadCreated;1692438572.11777
ThreadStarted;1692438572.11777
AssignFogNode_Latitude;41.0138
AssignFogNode_Longitude;28.9497
AssignFogNodeRequested;1692438572.11777
BrokerIPAssigned;1692438572.301088
BrokerIP;212.253.104.215
BrokerType;WAN
BrokerDistance;0.5686438102936416
AssignWorkerDeviceRequested;1692438572.302093
WorkerDeviceAssigned;1692438572.39303
WorkerIP;212.253.104.215
CPU_Usage;1.2626262626262652
WorkerResourceThreadStarted;1692438572.395034
CloudResourceThreadStarted;1692438572.39603
DeviceConnected;1692438572.728391
Filename;undefined_2023_08_19_12_49_34_tIIpbBVIskn_HkxUAAAR.json
Filename;0_2023_08_19_12_49_33_yfDLDqltrg0Hn4UoAAAP.json
ProcessReady;1692438572.784412
FirstDataSent;1692438572.9343
FirstResponseReceived;1692438572.984385
TheadStopped;1692438937.418189
