Feature;Value
ApplicationName;GaitAnalysis
TestType;Cloud
DeviceURL;http://164.92.168.129:27592
ThreadIndex;1
DataUserNo;-1
DataStepLength;-1
CalibrationDataLength;300
TestDataLength;300
TestDataRepeatCount;1
ThreadCreated;375613.018973
BluetoothConnected;375613.058443
ThreadStarted:375632.323646
SocketInitialized;375632.338623
DeviceConnected:375632.857009
FilenameTime:375632.947842
Filename:1_2023_09_19_08_47_20_EzXXwI_wJwhZ8nC_AABB.json
ProcessReady;375633.015497
FirstResponseReceived;375633.117716
