Time,AccX,AccY,AccZ,GyroX,GyroY,GyroZ,Capacitance
7266,-0.89,-0.32,0.1,4.65,2.6,-5.21,485
7286,-0.87,-0.38,0.09,5.35,2.04,-6.45,483
7306,-0.88,-0.39,0.08,13.05,6.43,-7.58,483
7326,-0.91,-0.3,0.1,14.07,5.63,-8.39,483
7346,-0.92,-0.25,0.1,7.08,2.43,-8.31,483
7366,-0.91,-0.26,0.1,0.85,-0.27,-10.66,483
7387,-0.9,-0.28,0.08,1.19,0.37,-13.28,483
7406,-0.92,-0.32,0.06,5.98,2.48,-17.5,484
7427,-0.92,-0.31,0.07,16.73,8.02,-21.29,484
7446,-0.94,-0.26,0.08,20.97,11.79,-25.06,485
7467,-0.96,-0.24,0.11,18.23,8.65,-27.7,485
7486,-0.94,-0.28,0.11,18.1,6.83,-34.08,486
7506,-0.93,-0.28,0.11,24.65,9.23,-38.33,487
7526,-0.96,-0.23,0.12,31.78,13.64,-43.99,488
7546,-1.04,-0.06,0.26,32.12,14.56,-49.95,490
7566,-1.03,-0.05,0.24,15.11,7.32,-56.19,492
7586,-0.96,-0.25,0.2,-5.5,1.14,-58.56,494
7606,-0.88,-0.51,0.14,-17.5,-1.43,-52.79,494
7626,-0.77,-0.63,0.14,-21.5,-4.86,-40.3,494
7646,-0.78,-0.52,0.18,-19.21,-5.14,-5.69,494
7666,-0.88,-0.38,0.15,-23.41,-16.62,23.66,494
7686,-0.9,-0.39,0.17,-31.38,-34.6,48.07,494
7706,-0.83,-0.5,0.17,-14.75,-30.97,64.22,494
7727,-0.88,-0.46,0.22,6.79,-23.05,77.32,494
7746,-0.87,-0.38,0.21,10.88,-23.47,90.5,494
7767,-0.89,-0.35,0.22,12.15,-19.64,99.85,494
7786,-0.87,-0.25,0.16,10.88,-20.37,115.12,494
7806,-0.82,-0.25,0.08,0.44,-28.37,105.89,493
7826,-0.86,-0.43,0.18,8.56,-21.78,101.63,492
7846,-0.76,-0.39,0.2,18.59,-19.09,104.89,491
7866,-0.76,-0.32,0.13,23.69,-12.77,96.89,491
7886,-0.88,-0.3,0.16,30.16,-4.65,84.47,491
7906,-0.89,-0.18,0.15,30.87,-2.19,77.56,491
7926,-0.93,-0.15,0.15,23.64,-4.3,55.72,491
7946,-0.92,-0.22,0.2,18.04,-0.53,35.66,491
7966,-0.91,-0.1,0.14,5.48,-1.5,21.23,492
7986,-0.9,-0.07,0.08,-16.77,-9.43,2.88,491
8006,-0.85,-0.18,0.09,-39.39,-13.53,-18.66,491
8027,-0.78,-0.29,0.04,-52.14,-12.27,-34.33,491
8046,-0.71,-0.43,0.04,-59.53,-8.6,-45.03,490
8067,-0.87,-0.53,0.19,-40.28,12.04,-44.54,490
8086,-1.39,-0.34,0.66,3.46,38.69,-11.18,492
8107,-1.13,-0.16,0.26,-4.13,-2.34,-37.57,492
8126,-0.82,-0.28,0.06,-23.04,10.27,-56.15,492
8146,-0.75,-0.4,-0.07,-18.36,18.82,-31.41,491
8166,-0.97,-0.33,-0.08,1.37,29.99,-30.77,490
8186,-0.92,-0.25,0.17,-11.03,21.26,-33.66,490
8206,-0.9,-0.33,0.25,-12.39,21.92,-34.85,490
8226,-0.86,-0.15,0.17,-19.61,16.24,-27.46,490
8246,-0.86,-0.25,0.09,-23.96,18.95,-33.7,490
8266,-0.96,-0.29,-0.0,-19.16,22.77,-28.97,490
8286,-0.95,-0.19,-0.02,-25.64,16.05,-26.89,490
8306,-0.9,-0.31,0.02,-25.47,16.8,-34.48,490
8326,-0.89,-0.31,-0.0,-20.2,22.68,-30.15,490
8346,-0.91,-0.34,-0.03,-20.61,21.76,-31.79,490
8367,-0.91,-0.4,-0.0,-20.78,17.17,-31.99,489
8386,-0.88,-0.4,-0.01,-23.42,15.35,-28.28,489
8407,-0.8,-0.53,0.02,-17.68,14.82,-31.55,489
8426,-0.85,-0.5,0.04,-8.54,20.36,-26.53,489
8446,-0.84,-0.43,0.06,-4.61,16.66,-25.89,490
8466,-0.83,-0.41,0.04,-1.71,20.8,-25.38,490
8486,-0.87,-0.36,0.04,-2.49,20.39,-25.11,490
8506,-0.88,-0.35,0.02,-4.37,17.46,-27.18,489
8526,-0.86,-0.35,-0.03,-0.74,20.13,-29.69,489
8546,-0.92,-0.31,-0.01,-2.11,18.22,-29.78,489
8566,-0.87,-0.35,-0.0,-2.61,14.47,-35.2,489
8586,-0.86,-0.38,0.02,0.77,14.37,-39.87,489
8606,-0.87,-0.4,0.01,1.28,15.4,-40.18,489
8626,-0.87,-0.43,-0.03,5.66,15.98,-46.08,489
