Time,AccX,AccY,AccZ,GyroX,GyroY,GyroZ,Capacitance

7266,-0.92,-0.25,0.03,7.11,15.64,-33.01,512

7286,-0.94,-0.18,-0.08,8.53,11.01,-42.12,509

7306,-0.94,-0.2,-0.11,12.16,7.06,-40.09,509

7326,-0.97,-0.25,0.01,17.05,-5.8,-45.31,509

7346,-0.94,-0.27,-0.01,31.52,-8.5,-55.06,509

7366,-0.93,-0.08,-0.19,48.11,11.3,-64.14,509

7387,-1.04,0.02,-0.28,43.2,18.63,-77.36,510

7406,-1.28,-0.02,0.03,35.15,4.29,-90.71,511

7427,-1.21,-0.21,0.2,47.96,13.24,-119.07,513

7446,-1.21,-0.3,0.33,84.16,34.23,-136.29,514

7467,-1.32,-0.31,0.49,96.94,41.87,-145.25,517

7486,-1.37,-0.21,0.53,85.84,40.4,-137.37,519

7506,-1.19,-0.14,0.37,38.01,16.83,-122.92,520

7526,-0.83,-0.24,0.12,-23.34,-10.76,-102.43,519

7546,-0.5,-0.59,-0.47,-82.6,-29.33,-74.27,516

7566,-0.41,-0.93,-0.2,-59.69,-22.62,-50.72,516

7586,-0.69,-1.32,0.01,65.18,5.8,-12.86,517

7606,-0.7,-0.81,0.06,112.39,2.67,41.66,516

7626,-0.48,-0.23,-0.15,65.37,-23.69,98.45,516

7646,-0.52,-0.05,-0.05,-25.67,-43.74,138.86,514

7666,-0.63,-0.5,-0.04,-82.92,-66.9,170.32,515

7686,-0.67,-0.85,-0.02,-59.87,-69.62,183.48,514

7706,-0.65,-0.88,0.11,-17.61,-61.31,203.49,515

7727,-0.7,-0.53,0.14,-22.15,-54.68,233.79,515

7746,-0.76,-0.39,0.08,-59.55,-64.62,224.85,514

7767,-0.84,-0.44,-0.04,-85.89,-65.84,221.96,513

7786,-0.91,-0.6,0.0,-74.04,-56.17,184.67,512

7806,-0.87,-0.72,0.04,-54.7,-54.06,184.06,511

7826,-0.66,-0.66,0.03,-14.59,-19.81,139.38,510

7846,-0.8,-0.51,-0.04,11.2,2.92,110.24,509

7866,-0.97,-0.33,-0.01,18.6,11.83,78.76,508

7886,-0.96,-0.25,-0.08,0.4,-8.56,25.02,508

7906,-0.74,-0.37,0.05,-13.72,-5.1,-8.33,508

7926,-0.6,-0.5,0.01,-19.69,3.77,-37.95,508

7946,-0.7,-0.43,-0.04,-21.75,15.0,-74.15,508

7966,-1.64,0.24,0.56,44.92,127.53,-31.32,509

7986,-2.0,0.07,0.11,-55.89,-61.66,-23.58,510

8006,-0.15,-0.25,-0.32,-89.23,-37.75,-47.26,509

8027,-0.43,-0.67,0.16,-61.67,21.19,-66.21,508

8046,-0.99,-0.99,0.18,-8.48,32.92,-23.3,508

8067,-1.06,-0.65,0.2,45.72,31.59,-19.89,509

8086,-0.81,-0.14,0.15,34.22,31.07,-23.1,508

8107,-0.89,-0.05,0.02,-2.18,24.51,-21.58,508

8126,-0.87,-0.27,-0.0,-6.6,36.35,-22.27,507

8146,-0.93,-0.33,0.06,4.57,34.29,-15.33,508

8166,-1.0,-0.29,0.02,15.89,32.14,-24.41,508

8186,-0.96,-0.21,-0.04,12.79,21.51,-17.56,508

8206,-0.9,-0.24,-0.02,9.61,16.48,-11.05,508

8226,-0.92,-0.28,0.03,15.56,19.62,-20.68,508

8246,-0.97,-0.17,-0.02,16.95,20.98,-21.39,508

8266,-0.93,-0.11,-0.05,8.22,14.66,-15.3,508

8286,-0.91,-0.15,-0.02,11.67,18.48,-26.19,508

8306,-0.99,-0.13,-0.02,9.69,17.53,-25.71,508

8326,-0.91,-0.14,0.02,-1.37,10.93,-23.74,508

8346,-0.92,-0.18,-0.01,-15.15,8.52,-24.27,508

8367,-0.93,-0.25,-0.05,-18.65,5.82,-27.85,508

8386,-0.87,-0.32,-0.05,-8.51,7.53,-23.98,509

8407,-0.94,-0.21,-0.01,3.15,14.51,-27.8,509

8426,-0.95,-0.11,-0.05,5.06,12.95,-32.61,509

8446,-0.96,-0.14,-0.04,-7.2,5.93,-41.83,509

8466,-0.87,-0.24,-0.03,-15.55,-0.41,-45.51,508

8486,-0.92,-0.38,-0.0,-1.28,6.42,-60.56,508

8506,-0.88,-0.35,0.07,12.47,2.12,-52.84,509

8526,-0.85,-0.38,0.06,20.43,3.21,-60.37,509

8546,-0.9,-0.34,0.02,30.22,-0.78,-61.49,510

8566,-0.88,-0.25,-0.08,46.57,11.64,-73.88,510

8586,-1.07,-0.14,-0.06,53.9,14.6,-78.2,511

8606,-1.31,-0.15,0.03,52.5,16.6,-86.55,512

8626,-1.46,-0.25,0.27,53.6,18.92,-108.57,513

8646,-1.27,-0.41,0.42,69.95,25.41,-128.92,516

8667,-1.19,-0.36,0.43,90.27,44.06,-131.64,518

8686,-1.26,-0.17,0.49,89.47,40.02,-137.16,520

8707,-1.05,-0.09,0.33,55.26,20.58,-110.85,520

8726,-0.71,-0.27,-0.03,0.04,-3.62,-81.84,519

8747,-0.5,-0.58,-0.51,-61.37,-23.48,-62.11,516

8766,-0.55,-0.77,-0.26,-44.34,-16.13,-49.38,515

8786,-0.77,-1.15,0.03,53.53,-4.49,-18.49,516

8806,-0.64,-0.71,0.04,79.01,-8.56,26.69,516

8826,-0.42,-0.2,-0.11,20.8,-31.04,77.5,515

8846,-0.43,-0.22,-0.12,-54.79,-47.23,128.42,514

8866,-0.57,-0.7,-0.06,-66.05,-49.42,149.4,514

8886,-0.68,-1.01,0.07,-22.54,-48.23,174.13,515

