Feature;Value
ApplicationName;GaitAnalysis
TestType;Cloud
DeviceURL;http://164.92.168.129:27592
ThreadIndex;0
DataUserNo;1
DataStepLength;20
CalibrationDataLength;224
TestDataLength;300
TestDataRepeatCount;1
ThreadCreated;1695642327.383408
ThreadStarted;1695642327.384406
WorkerResourceThreadStarted;1695642327.385418
DeviceConnected;1695642327.88878
Filename;0_2023_09_25_11_45_27_R2xd4g6wm_a9NKENAACR.json
ProcessReady;1695642327.96789
FirstDataSent;1695642328.091899
FirstResponseReceived;1695642328.16387
TheadStopped;1695642338.578599
