Feature;Value
ApplicationName;GaitAnalysis
TestType;System
DeviceURL;http://164.92.168.129:27592
ThreadIndex;0
DataUserNo;1
DataStepLength;20
CalibrationDataLength;224
TestDataLength;18000
TestDataRepeatCount;1
ThreadCreated;1692401373.428216
ThreadStarted;1692401373.429196
AssignFogNode_Latitude;41.0138
AssignFogNode_Longitude;28.9497
AssignFogNodeRequested;1692401373.429196
BrokerIPAssigned;1692401373.529272
BrokerIP;192.168.2.125
BrokerType;LAN
BrokerDistance;0
AssignWorkerDeviceRequested;1692401373.529465
WorkerDeviceAssigned;1692401373.539337
WorkerIP;192.168.2.125
CPU_Usage;1.2594458438287104
WorkerResourceThreadStarted;1692401373.541337
BrokerResourceThreadStarted;1692401373.542335
CloudResourceThreadStarted;1692401373.543355
DeviceConnected;1692401373.58121
Filename;0_2023_08_19_02_29_34_GGApzqQZ6j96eDmLAAAL.json
ProcessReady;1692401373.608928
FirstDataSent;1692401373.792204
FirstResponseReceived;1692401373.800294
TheadStopped;1692401738.280362
