Feature;Value
ApplicationName;GaitAnalysis
TestType;Cloud
DeviceURL;http://164.92.168.129:27592
ThreadIndex;0
DataUserNo;1
DataStepLength;20
CalibrationDataLength;224
TestDataLength;300
TestDataRepeatCount;1
ThreadCreated;1695642603.295024
ThreadStarted;1695642603.297022
WorkerResourceThreadStarted;1695642603.299021
DeviceConnected;1695642603.783936
Filename;0_2023_09_25_11_50_03_V9CccL0s70vuKp6JAACn.json
ProcessReady;1695642603.864231
FirstDataSent;1695642603.99408
FirstResponseReceived;1695642604.197518
TheadStopped;1695642614.487378
