Feature;Value
ApplicationName;GaitAnalysis
TestType;Broker
DeviceURL;http://192.168.2.125:27592
ThreadIndex;0
DataUserNo;1
DataStepLength;20
CalibrationDataLength;224
TestDataLength;18000
TestDataRepeatCount;1
ThreadCreated;1693166151.937377
ThreadStarted;1693166151.9384
WorkerResourceThreadStarted;1693166151.9384
DeviceConnected;1693166151.975396
Filename;0_2023_08_27_22_55_54_cTCkoyE63N4zEDlbAAAR.json
ProcessReady;1693166151.982028
FirstDataSent;1693166152.191256
FirstResponseReceived;1693166152.200812
TheadStopped;1693166516.683258
