Feature;Value
ApplicationName;GaitAnalysis
TestType;Cloud
DeviceURL;http://164.92.168.129:27592
ThreadIndex;1
DataUserNo;-1
DataStepLength;-1
CalibrationDataLength;300
TestDataLength;300
TestDataRepeatCount;1
ThreadCreated;1671369.565176
BluetoothConnected;1671369.588364
ThreadStarted:1671402.322086
SocketInitialized;1671402.328274
DeviceConnected:1671402.903868
FilenameTime:1671403.063404
Filename:1_2023_08_18_16_32_58_e1w88swPkuHeeiaKAAAZ.json
ProcessReady;1671403.123458
FirstResponseReceived;1671403.212107
