Feature;Value
ApplicationName;GaitAnalysis
TestType;Worker
DeviceURL;http://192.168.2.151:27592
ThreadIndex;0
DataUserNo;1
DataStepLength;20
CalibrationDataLength;224
TestDataLength;300
TestDataRepeatCount;1
ThreadCreated;1693188392.770865
ThreadStarted;1693188392.771871
WorkerResourceThreadStarted;1693188392.77287
DeviceConnected;1693188392.81545
Filename;0_2023_08_28_05_06_34_FqPAauFgDMf60SmnAAAV.json
ProcessReady;1693188392.840177
FirstDataSent;1693188393.026192
FirstResponseReceived;1693188393.033584
TheadStopped;1693188403.509024
