Feature;Value
ApplicationName;GaitAnalysis
TestType;Cloud
DeviceURL;http://164.92.168.129:27592
ThreadIndex;0
DataUserNo;1
DataStepLength;20
CalibrationDataLength;224
TestDataLength;300
TestDataRepeatCount;1
ThreadCreated;1695642226.886433
ThreadStarted;1695642226.887436
WorkerResourceThreadStarted;1695642226.889435
DeviceConnected;1695642227.37239
Filename;0_2023_09_25_11_43_47__fGyLWXGH_-AMRuaAACJ.json
ProcessReady;1695642227.444367
FirstDataSent;1695642227.578782
FirstResponseReceived;1695642227.65917
TheadStopped;1695642238.066881
