Feature;Value
ApplicationName;GaitAnalysis
TestType;Cloud
DeviceURL;http://164.92.168.129:27592
ThreadIndex;0
DataUserNo;1
DataStepLength;20
CalibrationDataLength;224
TestDataLength;300
TestDataRepeatCount;1
ThreadCreated;1695642502.919987
ThreadStarted;1695642502.920582
WorkerResourceThreadStarted;1695642502.921587
DeviceConnected;1695642503.432977
Filename;0_2023_09_25_11_48_23_p2Q07sk4Orq31sd_AACf.json
ProcessReady;1695642503.505695
FirstDataSent;1695642503.639499
FirstResponseReceived;1695642503.716256
TheadStopped;1695642514.133371
