Feature;Value
ApplicationName;GaitAnalysis
TestType;System
DeviceURL;http://164.92.168.129:27592
ThreadIndex;0
DataUserNo;1
DataStepLength;20
CalibrationDataLength;224
TestDataLength;300
TestDataRepeatCount;1
ThreadCreated;1692439395.575122
ThreadStarted;1692439395.576122
AssignFogNode_Latitude;41.0138
AssignFogNode_Longitude;28.9497
AssignFogNodeRequested;1692439395.576122
BrokerIPAssigned;1692439395.767484
BrokerIP;212.253.104.215
BrokerType;WAN
BrokerDistance;0.5686438102936416
AssignWorkerDeviceRequested;1692439395.767484
WorkerDeviceAssigned;1692439395.875305
WorkerIP;212.253.104.215
CPU_Usage;1.5113350125944613
WorkerResourceThreadStarted;1692439395.877304
CloudResourceThreadStarted;1692439395.877304
DeviceConnected;1692439396.150285
Filename;undefined_2023_08_19_13_03_18_tD8D5g5eRD-5kASaAAAV.json
Filename;0_2023_08_19_13_03_17_U8CWrqvHQWX4jvHnAAAT.json
ProcessReady;1692439396.303251
FirstDataSent;1692439396.361638
FirstResponseReceived;1692439396.410219
TheadStopped;1692439406.843706
