Feature;Value
ApplicationName;GaitAnalysis
TestType;Broker
DeviceURL;http://192.168.2.125:27592
ThreadIndex;1
DataUserNo;-1
DataStepLength;-1
CalibrationDataLength;300
TestDataLength;18000
TestDataRepeatCount;1
ThreadCreated;1678963.151046
BluetoothConnected;1678963.179286
ThreadStarted:1678975.539705
SocketInitialized;1678975.545839
DeviceConnected:1678975.644699
FilenameTime:1678975.686166
Filename:1_2023_08_18_22_09_08_N3sh6p0q9gtOKVXWAAAH.json
ProcessReady;1678975.692920
FirstResponseReceived;1678975.740134
