Feature;Value
ApplicationName;GaitAnalysis
TestType;System
DeviceURL;http://164.92.168.129:27592
ThreadIndex;1
DataUserNo;-1
DataStepLength;-1
CalibrationDataLength;300
TestDataLength;18000
TestDataRepeatCount;1
ThreadCreated;1634752.374993
BluetoothConnected;1634752.397728
ThreadStarted:1634764.735840
AssignFogNode_Latitude;41.1073293
AssignFogNode_Longitude;28.7827509
AssignFogNodeRequested;1634764.741056
AssignWorkerDeviceRequested;1634765.006802
BrokerIPAssigned;1634765.005813
BrokerIP;192.168.2.125
BrokerType;LAN
BrokerDistance;0
SocketInitialized;1634765.036083
WorkerDeviceAssigned;1634765.029781
WorkerIP;192.168.2.151
CPU_Usage;1.5075376884422065
DeviceConnected:1634765.115598
FilenameTime:1634765.139335
Filename:1_2023_08_18_08_42_53_hFnCLPt-0wBEJi_zAAAT.json
ProcessReady;1634765.151271
FirstResponseReceived;1634765.193873
