Feature;Value
ApplicationName;GaitAnalysis
TestType;Cloud
DeviceURL;http://164.92.168.129:27592
ThreadIndex;0
DataUserNo;1
DataStepLength;20
CalibrationDataLength;224
TestDataLength;18000
TestDataRepeatCount;1
ThreadCreated;1695637968.903903
ThreadStarted;1695637968.904875
WorkerResourceThreadStarted;1695637968.905898
DeviceConnected;1695637969.410877
Filename;0_2023_09_25_10_32_50_25P0PhVusVZbliAQAABx.json
ProcessReady;1695637969.498227
FirstDataSent;1695637969.619468
FirstResponseReceived;1695637969.702934
TheadStopped;1695638334.101098
