Feature;Value
ApplicationName;GaitAnalysis
TestType;Cloud
DeviceURL;http://164.92.168.129:27592
ThreadIndex;1
DataUserNo;-1
DataStepLength;-1
CalibrationDataLength;300
TestDataLength;18000
TestDataRepeatCount;1
ThreadCreated;1663940.797286
BluetoothConnected;1663940.820776
ThreadStarted:1663947.036150
SocketInitialized;1663947.040943
DeviceConnected:1663947.471158
FilenameTime:1663947.535036
Filename:1_2023_08_18_14_28_43_Xy-qwaHCqmmzUIUjAAAp.json
ProcessReady;1663947.586412
FirstResponseReceived;1663947.664941
