Feature;Value
ApplicationName;GaitAnalysis
TestType;System
DeviceURL;http://164.92.168.129:27592
ThreadIndex;0
DataUserNo;1
DataStepLength;20
CalibrationDataLength;224
TestDataLength;18000
TestDataRepeatCount;1
ThreadCreated;1692400238.104949
ThreadStarted;1692400238.108064
AssignFogNode_Latitude;41.0138
AssignFogNode_Longitude;28.9497
AssignFogNodeRequested;1692400238.108064
BrokerIPAssigned;1692400238.217105
BrokerIP;192.168.2.125
BrokerType;LAN
BrokerDistance;0
AssignWorkerDeviceRequested;1692400238.218111
WorkerDeviceAssigned;1692400238.228681
WorkerIP;192.168.2.125
CPU_Usage;0.75949367088608
WorkerResourceThreadStarted;1692400238.230683
BrokerResourceThreadStarted;1692400238.230683
CloudResourceThreadStarted;1692400238.231685
DeviceConnected;1692400238.27541
Filename;0_2023_08_19_02_10_39_7FYvL0dIpGKCpQGGAAAF.json
ProcessReady;1692400238.297228
FirstDataSent;1692400238.487635
FirstResponseReceived;1692400238.496491
TheadStopped;1692400602.975794
