Feature;Value
ApplicationName;GaitAnalysis
TestType;Broker
DeviceURL;http://192.168.2.125:27592
ThreadIndex;0
DataUserNo;1
DataStepLength;20
CalibrationDataLength;224
TestDataLength;300
TestDataRepeatCount;1
ThreadCreated;1693167887.590954
ThreadStarted;1693167887.591949
WorkerResourceThreadStarted;1693167887.592948
DeviceConnected;1693167887.629448
Filename;0_2023_08_27_23_24_49_oqf_dxU39A0Mxy3OAAAb.json
ProcessReady;1693167887.637089
FirstDataSent;1693167887.841949
FirstResponseReceived;1693167887.860063
TheadStopped;1693167898.323139
