Feature;Value
ApplicationName;GaitAnalysis
TestType;Cloud
DeviceURL;http://164.92.168.129:27592
ThreadIndex;0
DataUserNo;1
DataStepLength;20
CalibrationDataLength;224
TestDataLength;18000
TestDataRepeatCount;1
ThreadCreated;1693161293.200583
ThreadStarted;1693161293.202585
WorkerResourceThreadStarted;1693161293.203586
DeviceConnected;1693161293.506248
Filename;0_2023_08_27_18_34_54_8HTRui-X7Lj0KscXAAAR.json
ProcessReady;1693161293.559188
FirstDataSent;1693161293.710438
FirstResponseReceived;1693161293.759778
TheadStopped;1693161658.204267
