Feature;Value
ApplicationName;GaitAnalysis
TestType;System
DeviceURL;http://164.92.168.129:27592
ThreadIndex;1
DataUserNo;-1
DataStepLength;-1
CalibrationDataLength;300
TestDataLength;18000
TestDataRepeatCount;1
ThreadCreated;1646607.405012
BluetoothConnected;1646607.442528
ThreadStarted:1646615.667536
AssignFogNode_Latitude;41.1073293
AssignFogNode_Longitude;28.7827509
AssignFogNodeRequested;1646615.671943
AssignWorkerDeviceRequested;1646615.931359
BrokerIPAssigned;1646615.930405
BrokerIP;212.253.104.215
BrokerType;WAN
BrokerDistance;17.815618448756158
SocketInitialized;1646616.041228
WorkerDeviceAssigned;1646616.028728
WorkerIP;192.168.2.151
CPU_Usage;1.7543859649122862
DeviceConnected:1646616.307219
FilenameTime:1646616.394090
Filename:undefined_2023_08_18_12_02_17_sVvnD37C23adht44AAAF.json
FilenameTime:1646616.477582
Filename:1_2023_08_18_12_02_17_ZvvbLwwbnqEiundZAAAD.json
ProcessReady;1646616.483112
FirstResponseReceived;1646616.550593
