Feature;Value
ApplicationName;GaitAnalysis
TestType;System
DeviceURL;http://164.92.168.129:27592
ThreadIndex;0
DataUserNo;1
DataStepLength;20
CalibrationDataLength;224
TestDataLength;300
TestDataRepeatCount;1
ThreadCreated;1692404434.433073
ThreadStarted;1692404434.433073
AssignFogNode_Latitude;41.0138
AssignFogNode_Longitude;28.9497
AssignFogNodeRequested;1692404434.434073
BrokerIPAssigned;1692404434.543007
BrokerIP;192.168.2.125
BrokerType;LAN
BrokerDistance;0
AssignWorkerDeviceRequested;1692404434.544007
WorkerDeviceAssigned;1692404434.557999
WorkerIP;192.168.2.125
CPU_Usage;1.5037593984962405
WorkerResourceThreadStarted;1692404434.558999
BrokerResourceThreadStarted;1692404434.560997
CloudResourceThreadStarted;1692404434.561996
DeviceConnected;1692404434.605971
Filename;0_2023_08_19_03_20_35_Z69ylTTo5OPBC2_pAABB.json
ProcessReady;1692404434.633955
FirstDataSent;1692404434.812708
FirstResponseReceived;1692404434.82025
TheadStopped;1692404445.296172
