Time,AccX,AccY,AccZ,GyroX,GyroY,GyroZ,Capacitance
9186,-0.5,-1.17,-0.07,105.53,22.31,42.63,481
9206,-0.46,-0.42,-0.02,99.16,17.45,91.53,481
9226,-0.34,-0.16,-0.02,-5.49,-28.24,140.23,480
9246,-0.44,-0.67,-0.03,-69.98,-56.14,175.36,480
9266,-0.46,-1.06,0.07,-35.6,-40.98,193.39,479
9286,-0.49,-0.96,0.15,21.38,-25.27,208.09,480
9307,-0.59,-0.53,0.23,6.71,-29.59,224.0,480
9326,-0.66,-0.45,0.17,-43.54,-48.43,231.63,480
9347,-0.74,-0.63,0.16,-65.63,-51.92,234.3,480
9366,-0.84,-0.7,0.16,-53.48,-52.62,231.28,480
9387,-0.85,-0.5,0.19,-43.69,-54.37,221.46,478
9406,-1.01,-0.35,0.31,-49.35,-46.64,202.96,476
9426,-0.92,-0.24,0.29,-61.69,-60.29,174.72,476
9446,-0.87,-0.41,0.03,-50.0,-45.85,132.63,476
9466,-0.95,-0.38,0.12,-9.6,-16.35,97.51,476
9486,-0.87,-0.1,0.06,7.27,-11.89,62.81,476
9506,-0.95,-0.02,-0.01,9.21,2.34,19.43,476
9526,-0.93,-0.04,0.01,5.41,3.01,-17.3,476
9546,-0.9,-0.05,-0.01,-2.19,7.22,-50.15,476
9566,-0.8,-0.4,-0.01,-7.43,12.84,-79.33,477
9586,-0.81,-0.52,0.02,13.62,34.15,-84.72,476
9606,-1.45,0.08,0.36,44.71,73.1,-40.95,477
9626,-1.34,0.33,0.3,-29.69,-6.56,-26.08,477
9647,-0.68,-0.17,0.06,-83.97,-29.08,-60.69,477
9666,-0.72,-0.52,0.23,-78.81,8.98,-63.04,477
9687,-0.9,-0.64,0.05,-40.88,13.28,-34.57,477
9706,-0.78,-0.6,0.03,18.54,43.85,-49.62,477
9726,-0.9,-0.29,0.21,30.08,47.59,-50.52,477
9746,-0.97,-0.09,0.17,8.05,29.71,-38.86,477
9766,-0.89,-0.39,0.0,1.09,28.98,-47.07,476
9786,-0.87,-0.5,-0.17,14.23,29.68,-40.28,476
9806,-0.92,-0.38,-0.13,24.65,33.96,-39.1,476
9826,-0.95,-0.29,-0.02,27.81,31.3,-39.18,476
9846,-0.93,-0.24,0.09,27.35,27.48,-40.7,477
9866,-0.89,-0.21,0.13,25.23,26.73,-39.39,477
9886,-0.92,-0.16,0.02,18.4,22.38,-38.37,477
9906,-0.98,-0.27,-0.09,11.94,17.31,-39.22,476
9926,-0.85,-0.33,-0.1,10.14,18.21,-34.78,476
9947,-0.87,-0.41,-0.0,18.92,21.94,-37.34,476
9966,-0.93,-0.28,0.06,20.11,18.95,-37.99,476
9987,-0.86,-0.22,0.06,11.06,15.3,-39.53,476
10006,-0.92,-0.21,0.01,5.77,13.71,-42.37,476
10027,-0.97,-0.14,-0.02,6.36,10.4,-46.34,476
10046,-0.93,-0.13,-0.07,-0.9,8.14,-46.26,476
10066,-0.88,-0.24,-0.03,-10.79,6.0,-49.41,476
10086,-0.85,-0.32,0.04,-7.68,7.86,-53.44,476
10106,-0.89,-0.28,0.01,-2.53,11.57,-57.79,476
10126,-0.94,-0.31,-0.07,-0.12,14.84,-61.79,476
10146,-0.98,-0.29,0.04,-0.19,13.77,-69.83,477
10166,-1.02,-0.26,0.14,0.81,15.44,-79.95,478
10186,-1.06,-0.31,0.25,13.82,22.75,-95.82,481
10206,-1.12,-0.37,0.14,37.67,34.84,-108.58,483
10226,-1.33,-0.4,0.09,54.68,42.2,-120.06,486
10246,-1.75,-0.39,0.47,74.16,47.8,-131.63,490
10266,-1.67,-0.21,0.47,118.16,67.7,-157.73,494
10287,-1.33,-0.17,0.26,116.9,68.32,-153.22,492
10306,-0.76,-0.44,0.12,55.24,26.52,-129.24,488
10327,-0.27,-0.59,-0.28,-16.45,-10.55,-92.89,481
10346,-0.3,-0.69,-0.8,-67.08,-47.72,-57.59,479
10366,-0.41,-0.78,-0.4,-39.02,0.26,-25.79,482
10386,-0.62,-1.04,0.09,28.48,-20.11,43.27,485
10406,-0.39,-0.93,-0.06,71.91,-25.17,101.6,484
10426,-0.48,-0.67,-0.0,87.88,-11.45,127.91,484
