Feature;Value
ApplicationName;GaitAnalysis
TestType;Broker
DeviceURL;http://192.168.2.125:27592
ThreadIndex;1
DataUserNo;-1
DataStepLength;-1
CalibrationDataLength;300
TestDataLength;18000
TestDataRepeatCount;1
ThreadCreated;1678142.951380
BluetoothConnected;1678142.973783
ThreadStarted:1678155.070646
SocketInitialized;1678155.076289
DeviceConnected:1678155.166438
FilenameTime:1678155.191728
Filename:1_2023_08_18_21_55_27_sgSSjcVHQurnbvRSAAAP.json
ProcessReady;1678155.197993
FirstResponseReceived;1678155.231926
