Feature;Value
ApplicationName;GaitAnalysis
TestType;Cloud
DeviceURL;http://164.92.168.129:27592
ThreadIndex;0
DataUserNo;1
DataStepLength;20
CalibrationDataLength;224
TestDataLength;300
TestDataRepeatCount;1
ThreadCreated;1695642402.501626
ThreadStarted;1695642402.502878
WorkerResourceThreadStarted;1695642402.504898
DeviceConnected;1695642403.026674
Filename;0_2023_09_25_11_46_43__M-3B19T5kqADvgHAACX.json
ProcessReady;1695642403.107736
FirstDataSent;1695642403.242581
FirstResponseReceived;1695642403.318708
TheadStopped;1695642413.738193
