Feature;Value
ApplicationName;GaitAnalysis
TestType;System
DeviceURL;http://164.92.168.129:27592
ThreadIndex;1
DataUserNo;-1
DataStepLength;-1
CalibrationDataLength;300
TestDataLength;18000
TestDataRepeatCount;1
ThreadCreated;1636048.851689
BluetoothConnected;1636048.879248
ThreadStarted:1636062.585223
AssignFogNode_Latitude;41.1073293
AssignFogNode_Longitude;28.7827509
AssignFogNodeRequested;1636062.587828
AssignWorkerDeviceRequested;1636062.832573
BrokerIPAssigned;1636062.831407
BrokerIP;192.168.2.125
BrokerType;LAN
BrokerDistance;0
SocketInitialized;1636062.864647
WorkerDeviceAssigned;1636062.857501
WorkerIP;192.168.2.151
CPU_Usage;1.2594458438287104
DeviceConnected:1636062.947922
FilenameTime:1636062.984335
Filename:1_2023_08_18_09_04_31_j8slC9A5WJYFZ-N2AAAZ.json
ProcessReady;1636062.993353
FirstResponseReceived;1636063.035324
